country_id,product_id,sales,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,415,61363,0,0,0,0,0,0,3220,3292,3335,3167,3108,3123,3143,3112,3184,1542,1507,1395,1416,1430,1395,1349,1457,1407,1419,1428,1396,1392,1453,1433,1305,1344,1394,1411,1391,1391,1391,1397,13,11,11,12,10,15,11,12,10,13,13,18,12,15,17,15,14,14
1,1129,76046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2319,2097,1954,1900,1916,1940,1951,1922,1879,1868,1872,1853,1880,1807,1840,1948,1962,1908,1870,1862,1819,1908,1810,1883,1879,1897,1827,1847,1881,1892,1871,1867,1898,1893,1827,1850,1832,1450,1484,1432,1451
2,32,63834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191,2228,2223,2112,2103,2067,2069,2078,2080,2051,2006,2038,1983,1931,1848,1930,1984,2016,1921,1980,2003,2028,1975,1925,1838,1867,1958,1893,1885,1980,1862,1781
2,143,64259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5945,5774,5679,5701,3221,3037,2958,2995,2992,2856,2891,2846,2957,2829,647,588,567,611,544,615,600,534,525,586,559,500,533,511,513,496,494,541,495,408,367,344
2,290,114704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5290,5119,5111,5138,5101,5164,5050,5033,3354,3475,3474,3358,3251,3320,3291,3387,3288,3237,3419,3395,3390,3356,3381,3312,3379,3388,3414,3290,3291,3248
2,301,64790,5917,5449,4194,4022,1943,1773,1629,1439,1156,1178,1120,1103,1066,985,1068,1019,967,1007,1013,974,930,907,788,810,810,842,811,724,796,757,747,748,781,807,775,716,756,808,687,650,686,697,613,654,616,592,593,630,598,671,633,604,613,624,678,616
2,409,57724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005,10041,9942,2782,2708,2795,2570,2302,2252,2348,533,495,482,475,486,535,499,489,506,487,472,515,448,481,510,505,468,454,412,418,309
2,421,70388,0,0,0,0,18635,13441,13469,11027,11048,888,164,163,130,122,123,136,130,133,146,118,106,111,102,91,89,0,1,0,2,2,1,1,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,647,56058,0,0,25770,25865,1270,774,749,524,525,230,45,42,37,30,33,31,31,38,13,9,7,7,6,11,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,759,114764,0,0,0,0,0,0,0,7860,7833,7648,7127,7229,7150,7118,6965,6899,6927,6910,6989,6822,6339,3495,3650,3541,3459,129,128,125,122,128,105,43,4,3,1,5,0,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,826,63317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2481,2465,2224,2264,2238,2144,2112,2154,2209,2190,2249,2147,2197,2214,2195,2127,2206,2189,2135,2142,2126,2039,2095,2004,2129,2124,2188,2171,2159
2,851,383411,0,0,0,0,0,0,0,0,0,0,21440,21535,21550,19349,19630,19845,19683,19414,19328,19259,16737,17125,16937,16767,15960,12322,9069,9117,3047,3049,3052,3076,2986,2975,2526,2298,2317,2300,2362,2336,2364,2251,2280,2291,2355,2231,2274,2287,2242,2259,2228,2279,2190,2210,2173,2106
2,947,81805,20824,19509,2958,2894,2412,2467,2388,2057,1837,1718,1140,1098,1054,1144,1095,1037,1091,1061,1062,1051,991,884,975,899,671,519,507,485,501,511,478,355,343,374,334,243,203,227,203,217,236,233,256,229,241,224,239,224,14,14,11,14,17,11,13,12
2,1011,65908,0,0,0,0,0,11925,12016,8549,8401,8360,661,652,611,603,642,557,557,509,529,546,489,539,508,503,481,502,467,474,470,404,427,424,384,440,460,430,399,431,417,408,114,110,113,121,118,113,102,99,111,103,105,92,114,106,109,103
2,1131,204919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11554,10163,10112,9977,10223,10040,10229,9889,10099,10132,10164,10103,9918,9928,9786,9660,9825,9730,9961,9807,3619
2,1161,73082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4006,4021,4020,3856,2835,2740,2778,2678,2683,2690,2230,1865,1812,1723,1728,1567,1453,1575,1566,1642,1573,1647,1525,1599,1564,1565,1575,1478,1590,1582,1613,1550,1639,1584,1530
2,1206,105950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5739,4941,4947,4977,4968,4860,4858,4852,4831,4910,4919,4875,4861,4632,4664,4504,4567,4616,4770,4613,4638,4408
2,1296,282188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13801,13656,13651,13265,13433,13176,12830,9357,8934,9072,9344,9133,9057,9031,9181,9041,8998,8905,9053,8822,8881,8943,8924,8910,8986,8842,8946,8016
4,1304,54999,0,0,0,0,3261,2901,3018,2899,2707,2709,2762,2769,2678,2167,2199,2208,2140,1744,1721,1788,1814,1814,1729,1773,1773,1770,1767,1764,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,130,50384,0,0,4211,3011,3056,2943,2968,2352,2345,2302,2372,2262,2321,2330,2337,2326,2338,2253,2347,2228,2282,1209,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
